Date,Favorite,ID,Retweet,Text
2019-08-01 14:18:17,643,1156932163394297856,113,"This is what optimism is all about, @VanJones68! https://t.co/QzZiUNgoxo"
2019-08-01 02:47:49,2960,1156758404507021312,572,"The way you run a campaign should reflect your values. Ours is 100% grassroots-funded—no federal lobbyists, mega-donor fundraisers, or PAC money of any kind.

Will you join our movement and chip in $3 before our July fundraising deadline at midnight? https://t.co/e5MEuPYTwo"
2019-08-01 02:26:51,34170,1156753127435096066,5579,"I read the Mueller report the day it came out, and it was clear to me that it’s a referral for impeachment. Now it’s up to Congress to act. No one is above the law—not even the president of the United States. #DemDebate2"
2019-08-01 02:07:47,902,1156748328035639296,205,"America’s trade policies have put giant multinational corporations ahead of American workers, families, farmers, and the environment. I’ve got a plan to change that. I’m proposing a new approach to trade—on our terms. #DemDebate2 https://t.co/M0ILIV637H"
2019-08-01 01:54:50,0,1156745071246675970,372,"RT @TeamWarren: We must be the party of big, structural change. Let’s give people a reason to show up to vote. @ewarren will beat Donald Tr…"
2019-08-01 01:43:03,11455,1156742105693392896,2408,"Last month was the hottest June on record. Flooding and extreme weather have devastated communities and caused billions of dollars in damage this year. Climate change is real and it’s here. We need to take big, bold action now—starting with a #GreenNewDeal. #DemDebate2"
2019-08-01 00:58:28,2605,1156730885196124160,559,"Immigrants are our neighbors, colleagues, and friends—and every bit as American as those who were born in the U.S. We need a rule-based immigration system that is fair, humane, and reflects our values. I've got a plan to make that a reality. #DemDebate2 https://t.co/LPDEESENgY"
2019-08-01 00:45:07,7914,1156727523134332928,1922,"Patients are rationing medication, putting their lives and health at risk. Families are begging strangers to help cover medical costs—including necessary care their insurance refuses to cover. This system is failing us. That's why I'm fighting for #MedicareForAll. #DemDebate"
2019-07-31 22:44:15,10724,1156697106293415945,1866,"We need to know how many U.S. citizens have been detained, how long they've been held, and under what conditions. And we need to know whether agents are using racial profiling when making these wrongful arrests and detentions."
2019-07-31 22:44:14,17592,1156697105110654981,3996,U.S. citizens—including 18-year-old Francisco Erwin Galicia and 9-year-old Julia Isabel Amparo Medina—have been detained by @CBP and @ICEgov despite presenting proof of citizenship. I'm demanding an investigation into this unacceptable abuse of power. https://t.co/qn2DPNj80R
2019-07-31 21:49:37,21218,1156683358283452416,4896,Equifax has botched its response to the data breach at every step. We can't count on @Equifax to do the right thing. We need to pass laws that will actually hold them accountable—and I’ve got a bill to do just that. https://t.co/X8Q3ICoODU
2019-07-31 21:17:41,2885,1156675322294784000,772,"The government works great—for a thinner and thinner slice at the top. If we want big, structural change, we need to get big money out of politics and #EndCitizensUnited. I'm proud to sign the @USAPromise Candidate Pledge in support of the #28thAmendment. https://t.co/qneTaV0o1A"
2019-07-31 20:47:06,0,1156667624815759360,800,"RT @nytpolitics: Elizabeth Warren wants to tax the 75,000 wealthiest families in the United States https://t.co/NyhAtkSPtM"
2019-07-31 20:00:10,9,1156655812900786183,2,@chelefrei I love it! Thank you for your support.
2019-07-31 19:47:00,68815,1156652499878780928,9411,"There’s a lot at stake for our democracy. But we can't choose a candidate we don't believe in just because we’re afraid. 

I’m not afraid."
2019-07-31 18:23:45,17450,1156631550118772736,2644,"I’m not here to talk about what’s not possible. I’m here to fight for big, structural change. https://t.co/Wz4quR4A4R"
2019-07-31 16:55:22,20809,1156609309624754177,1563,Running for president: That’s what girls do! I’m grateful for your support. https://t.co/1DPhzKoDP3
2019-07-31 16:01:28,4185,1156595743483973632,742,"Climate change. Student loan debt. Big tech monopolies. You bet I have a plan to help solve these problems—and I believe down to my bones that we can make it happen if we work together. Chip in $3 now if you believe it, too. https://t.co/Qakhyg2s3b"
2019-07-31 15:21:47,28,1156585756451835906,1,"@mulatta10 Thankful for your support, Toni!"
2019-07-31 14:53:31,5494,1156578642945814529,1290,"For decades, our government has worked for the rich and the powerful. We’ll change that by being the party of big, structural change. Dollar by dollar, person by person, community by community, we will beat Donald Trump in 2020, and make real change come 2021. #DemDebate https://t.co/lbxX6j9Qkh"
