,Sentiment,Text
0,0,sad apl friend
1,0,miss new moon trailer
2,1,omg  o
3,0,omgaga sooo gunna cry dentist supose crown mins
4,0,think mi bf cheat t t
5,0,worry
6,1,juuuuuuuuuuuuuuuuussssst chillin
7,0,sunny again work tomorrow  -  tv tonight
8,1,hand uniform today miss
9,1,hmmmm wonder number
10,0,think positive
11,1,thank hater up face day -
12,0,weekend suck far
13,0,jb not australia
14,0,ok s win
15,0,lt -------- way feel right
16,0,awhhe man completely useless rt funny can twitt
17,1,feel strangely fine listen semisonic celebrate
18,0,huge roll thunder scary
19,0,cut beard grow well over year start over happy meantime
20,0,sad iran
21,0,wompppp wompp
22,1,can cause no follow pretty awesome
23,0,lt ---sad level write massive blog tweet myspace comp shut lose lay fetal position
24,0,head hospitol pull golf tourny rd place think re - rip yeah
25,0,boring s wrong tell Bad
26,0,can not bother wish spend rest life sit gig seriously
27,0,feeele like shit right want sleep but nooo hour dancing art assignment finish
28,1,goodbye exam hello alcohol tonight
29,0,not realize deep geez girl warning atleast
30,0,hate athlete appear tear acl live television
31,0,miss guy think wear skinny jean cute sweater heel not sure today
32,0,-- meet meat
33,0,horsie saturday morning
34,0,no sat need work day week
35,0,not like room boring sick wardrobe can not waiit till have walk yay
36,0,sox floyd great but reliever need scolding
37,0,time like million
38,1,uploading picture friendst
39,0,type spaz download virus brother msn fuck forever Bad
40,0,amp  fightiin wiit babes
41,1,- write week new york office
42,0,
43,1,do need do well anyways chris cornell chicago tonight
44,1,health class joke
45,1,lt  tonight
46,0,sad look muslims reality
47,0,- time low shall motivation rest week
48,0,entertainment over complain properly experimental should experiment melody
49,0,year lakers neither magic nor fun
50,0,badd day eveer
51,1,bathroom clean enjoyable task
52,1,boom boom pow
53,0,but proud
54,0,congrat helio
55,0,david hospitalize day end july palatine tonsil probably never katie concert
56,0,friend leave stupid love
57,1,ur mom hug right
58,1,harry sunday happiness
59,0,hand quilt
60,0,hate u leysh tar
61,1,- want
62,1,bend backwards
63,1,work sooooon miss cody booo not foreverr
64,1,hate allergy should hair cut tomorrow public poll
65,0,- love guy hurt
66,0,miss earl
67,0,miss new jersey
68,0,miss first hour sytycd night can not find online
69,0,need u fix
70,0,never think second choice
71,0,think friendly lol o well
72,0,think manuel basil plant day live
73,0,wanna home church wonder wht
74,0,wanna pizza
75,0,want gb harddrive inch tv new guitar anyonefeele generous p x
76,0,want hug
77,0,want miley tour australia
78,0,want sleep morning but mean kid popsicle stick head wish fly away like squirrel
79,0,slow up tix
80,0,send sunshine northern ireland swim today
81,0,wish t beach Bad would great amp
82,0,happy wall bedroom paint white
83,0,idk wat can trust sorry da pain cause nebody going to dis time straighten luv
84,0,find intercept slope bang head against wall math brain head come save
85,1,bed
86,0,sick cough cough
87,0,cab head airport home lt christy gt
88,0,case feel emo camp feel wee bit alr  bring human rights watch world report hope work
89,1,jin twitter
90,0,jona day over
91,0,jus hom fr tda funeral sad cry time love grandpa   never got quot goodbye quot
92,1,smile cuz not sure want
93,1,home friend zahra not graduate happy
94,0,- longest night ugh
95,0,mi momacita not let bf bball game grrr
96,0,mom new phone immediately t - mobile pay
97,0,new car steal mother want pose church
98,0,no hang girl day moro hope
99,0,no movie time sunday rats plan tomorrow guess mean work presentation
100,0,no pavel tonight lt tigersfan gt
